indice_tiempo,medio_de_transporte,pais_origen,viajes_de_turistas_no_residentes
2016-12-01,Fluvial/Marítima,Bolivia,9265
2016-12-01,Fluvial/Marítima,Brasil,16935
2016-12-01,Fluvial/Marítima,Chile,1289.1
2016-12-01,Fluvial/Marítima,Paraguay,14009
2016-12-01,Fluvial/Marítima,Uruguay,28145
2016-12-01,Fluvial/Marítima,EE.UU. y Canadá,11181.8
2016-12-01,Fluvial/Marítima,Resto de América,8114
2016-12-01,Fluvial/Marítima,Europa,13714.7
2016-12-01,Fluvial/Marítima,Resto del mundo,3265
2016-12-01,Terrestre,Bolivia,51033.3
2016-12-01,Terrestre,Brasil,34502.2
2016-12-01,Terrestre,Chile,84344.5
2016-12-01,Terrestre,Paraguay,132274.5
2016-12-01,Terrestre,Uruguay,22403.4
2016-12-01,Terrestre,EE.UU. y Canadá,6628.6
2016-12-01,Terrestre,Resto de América,16033.5
2016-12-01,Terrestre,Europa,29932.3
2016-12-01,Terrestre,Resto del mundo,9346.4
2017-01-01,Aérea,Bolivia,8102.6
2017-01-01,Aérea,Brasil,46279
2017-01-01,Aérea,Chile,16710
2017-01-01,Aérea,Paraguay,5725.7
2017-01-01,Aérea,Uruguay,3233.9
2017-01-01,Aérea,EE.UU. y Canadá,38842
2017-01-01,Aérea,Resto de América,36562.9
2017-01-01,Aérea,Europa,73053
2017-01-01,Aérea,Resto del mundo,19573
2017-01-01,Fluvial/Marítima,Bolivia,7718
2017-01-01,Fluvial/Marítima,Brasil,33339
2017-01-01,Fluvial/Marítima,Chile,2329.7
2017-01-01,Fluvial/Marítima,Paraguay,11576
2017-01-01,Fluvial/Marítima,Uruguay,22639
2017-01-01,Fluvial/Marítima,EE.UU. y Canadá,20009
2017-01-01,Fluvial/Marítima,Resto de América,7966
2017-01-01,Fluvial/Marítima,Europa,21272.1
2017-01-01,Fluvial/Marítima,Resto del mundo,6053
2017-01-01,Terrestre,Bolivia,59626.2
2017-01-01,Terrestre,Brasil,51520.2
2017-01-01,Terrestre,Chile,109653
2017-01-01,Terrestre,Paraguay,80567.6
2017-01-01,Terrestre,Uruguay,22896.1
2017-01-01,Terrestre,EE.UU. y Canadá,7208.7
2017-01-01,Terrestre,Resto de América,16263.7
2017-01-01,Terrestre,Europa,34249.7
2017-01-01,Terrestre,Resto del mundo,14262.7
2017-02-01,Aérea,Bolivia,6922.7
2017-02-01,Aérea,Brasil,26818
2017-02-01,Aérea,Chile,21576
2017-02-01,Aérea,Paraguay,4929.7
2017-02-01,Aérea,Uruguay,3451.1
2017-02-01,Aérea,EE.UU. y Canadá,28272
2017-02-01,Aérea,Resto de América,26292.5
2017-02-01,Aérea,Europa,53129
2017-02-01,Aérea,Resto del mundo,15455
2017-02-01,Fluvial/Marítima,Bolivia,6265
2017-02-01,Fluvial/Marítima,Brasil,26105
2017-02-01,Fluvial/Marítima,Chile,3923.8
2017-02-01,Fluvial/Marítima,Paraguay,8764
2017-02-01,Fluvial/Marítima,Uruguay,23174
2017-02-01,Fluvial/Marítima,EE.UU. y Canadá,21198
2017-02-01,Fluvial/Marítima,Resto de América,4558
2017-02-01,Fluvial/Marítima,Europa,26293.1
2017-02-01,Fluvial/Marítima,Resto del mundo,9491
2017-02-01,Terrestre,Bolivia,46959.7
2017-02-01,Terrestre,Brasil,30834.4
2017-02-01,Terrestre,Chile,143283.3
2017-02-01,Terrestre,Paraguay,67689.4
2017-02-01,Terrestre,Uruguay,22016.7
2017-02-01,Terrestre,EE.UU. y Canadá,6505
2017-02-01,Terrestre,Resto de América,10782.9
2017-02-01,Terrestre,Europa,31267.8
2017-02-01,Terrestre,Resto del mundo,13029.2
2017-03-01,Aérea,Bolivia,4760.4
2017-03-01,Aérea,Brasil,42302
2017-03-01,Aérea,Chile,24139
2017-03-01,Aérea,Paraguay,4471.6
2017-03-01,Aérea,Uruguay,4248.8
2017-03-01,Aérea,EE.UU. y Canadá,31426
2017-03-01,Aérea,Resto de América,28504.2
2017-03-01,Aérea,Europa,57764
2017-03-01,Aérea,Resto del mundo,15896
2017-03-01,Fluvial/Marítima,Bolivia,4938
2017-03-01,Fluvial/Marítima,Brasil,17266
2017-03-01,Fluvial/Marítima,Chile,1560.7
2017-03-01,Fluvial/Marítima,Paraguay,8010
2017-03-01,Fluvial/Marítima,Uruguay,26104
2017-03-01,Fluvial/Marítima,EE.UU. y Canadá,12765
2017-03-01,Fluvial/Marítima,Resto de América,4581
2017-03-01,Fluvial/Marítima,Europa,15340.1
2017-03-01,Fluvial/Marítima,Resto del mundo,3260
2017-03-01,Terrestre,Bolivia,27891.7
2017-03-01,Terrestre,Brasil,26694.3
2017-03-01,Terrestre,Chile,63640.4
2017-03-01,Terrestre,Paraguay,48230.4
2017-03-01,Terrestre,Uruguay,23466.2
2017-03-01,Terrestre,EE.UU. y Canadá,6129.7
2017-03-01,Terrestre,Resto de América,9472.6
2017-03-01,Terrestre,Europa,28345.4
2017-03-01,Terrestre,Resto del mundo,8908.7
2017-04-01,Aérea,Bolivia,5840.8
2017-04-01,Aérea,Brasil,45565
2017-04-01,Aérea,Chile,20186
2017-04-01,Aérea,Paraguay,5189.7
2017-04-01,Aérea,Uruguay,5440.5
2017-04-01,Aérea,EE.UU. y Canadá,24972
2017-04-01,Aérea,Resto de América,30986
2017-04-01,Aérea,Europa,47905
2017-04-01,Aérea,Resto del mundo,13379.1
2017-04-01,Fluvial/Marítima,Bolivia,7890
2017-04-01,Fluvial/Marítima,Brasil,9282
2017-04-01,Fluvial/Marítima,Chile,964.3
2017-04-01,Fluvial/Marítima,Paraguay,7890
2017-04-01,Fluvial/Marítima,Uruguay,37473
2017-04-01,Fluvial/Marítima,EE.UU. y Canadá,4270
2017-04-01,Fluvial/Marítima,Resto de América,5284
2017-04-01,Fluvial/Marítima,Europa,8197.9
2017-04-01,Fluvial/Marítima,Resto del mundo,1761
2017-04-01,Terrestre,Bolivia,26731
2017-04-01,Terrestre,Brasil,31717.4
2017-04-01,Terrestre,Chile,52641.7
2017-04-01,Terrestre,Paraguay,54100.2
2017-04-01,Terrestre,Uruguay,36040.1
2017-04-01,Terrestre,EE.UU. y Canadá,3068
2017-04-01,Terrestre,Resto de América,9292.3
2017-04-01,Terrestre,Europa,19812.7
2017-04-01,Terrestre,Resto del mundo,6084.2
2017-05-01,Aérea,Bolivia,5079.3
2017-05-01,Aérea,Brasil,52396
2017-05-01,Aérea,Chile,21136
2017-05-01,Aérea,Paraguay,5830.7
2017-05-01,Aérea,Uruguay,5052
2017-05-01,Aérea,EE.UU. y Canadá,19149
2017-05-01,Aérea,Resto de América,28007.9
2017-05-01,Aérea,Europa,33136
2017-05-01,Aérea,Resto del mundo,12442
2017-05-01,Fluvial/Marítima,Bolivia,8640
2017-05-01,Fluvial/Marítima,Brasil,8252
2017-05-01,Fluvial/Marítima,Chile,766.2
2017-05-01,Fluvial/Marítima,Paraguay,7130
2017-05-01,Fluvial/Marítima,Uruguay,29041
2017-05-01,Fluvial/Marítima,EE.UU. y Canadá,1839
2017-05-01,Fluvial/Marítima,Resto de América,3755
2017-05-01,Fluvial/Marítima,Europa,3620
2017-05-01,Fluvial/Marítima,Resto del mundo,1100
2017-05-01,Terrestre,Bolivia,25438.6
2017-05-01,Terrestre,Brasil,23921.8
2017-05-01,Terrestre,Chile,35622.9
2017-05-01,Terrestre,Paraguay,43243.6
2017-05-01,Terrestre,Uruguay,18224.5
2017-05-01,Terrestre,EE.UU. y Canadá,1896.6
2017-05-01,Terrestre,Resto de América,7764.3
2017-05-01,Terrestre,Europa,10547.7
2017-05-01,Terrestre,Resto del mundo,3991.2
2017-06-01,Aérea,Bolivia,4288.9
2017-06-01,Aérea,Brasil,58383
2017-06-01,Aérea,Chile,19225
2017-06-01,Aérea,Paraguay,5309.9
2017-06-01,Aérea,Uruguay,5268.7
2017-06-01,Aérea,EE.UU. y Canadá,18794
2017-06-01,Aérea,Resto de América,26155.5
2017-06-01,Aérea,Europa,28219
2017-06-01,Aérea,Resto del mundo,11165
2017-06-01,Fluvial/Marítima,Bolivia,7229
2017-06-01,Fluvial/Marítima,Brasil,7509
2017-06-01,Fluvial/Marítima,Chile,545.2
2017-06-01,Fluvial/Marítima,Paraguay,7203
2017-06-01,Fluvial/Marítima,Uruguay,24325
2017-06-01,Fluvial/Marítima,EE.UU. y Canadá,2036
2017-06-01,Fluvial/Marítima,Resto de América,3007
2017-06-01,Fluvial/Marítima,Europa,2553
2017-06-01,Fluvial/Marítima,Resto del mundo,929
2017-06-01,Terrestre,Bolivia,25302.2
2017-06-01,Terrestre,Brasil,25462
2017-06-01,Terrestre,Chile,25179.9
2017-06-01,Terrestre,Paraguay,39388.6
2017-06-01,Terrestre,Uruguay,14512.2
2017-06-01,Terrestre,EE.UU. y Canadá,1319.6
2017-06-01,Terrestre,Resto de América,6844.8
2017-06-01,Terrestre,Europa,6393
2017-06-01,Terrestre,Resto del mundo,2392.7
2017-07-01,Aérea,Bolivia,5987
2017-07-01,Aérea,Brasil,86732
2017-07-01,Aérea,Chile,22212
2017-07-01,Aérea,Paraguay,7392
2017-07-01,Aérea,Uruguay,5447
2017-07-01,Aérea,EE.UU. y Canadá,21776
2017-07-01,Aérea,Resto de América,29240
2017-07-01,Aérea,Europa,29677.9
2017-07-01,Aérea,Resto del mundo,10854
2017-07-01,Fluvial/Marítima,Bolivia,3348
2017-07-01,Fluvial/Marítima,Brasil,15770
2017-07-01,Fluvial/Marítima,Chile,933
2017-07-01,Fluvial/Marítima,Paraguay,10514
2017-07-01,Fluvial/Marítima,Uruguay,35644
2017-07-01,Fluvial/Marítima,EE.UU. y Canadá,2409
2017-07-01,Fluvial/Marítima,Resto de América,4124
2017-07-01,Fluvial/Marítima,Europa,3663.9
2017-07-01,Fluvial/Marítima,Resto del mundo,993
2017-07-01,Terrestre,Bolivia,40154.9
2017-07-01,Terrestre,Brasil,37153.2
2017-07-01,Terrestre,Chile,44147
2017-07-01,Terrestre,Paraguay,72244.7
2017-07-01,Terrestre,Uruguay,33349.3
2017-07-01,Terrestre,EE.UU. y Canadá,1687.6
2017-07-01,Terrestre,Resto de América,9919.1
2017-07-01,Terrestre,Europa,10259.1
2017-07-01,Terrestre,Resto del mundo,2784.9
2017-08-01,Aérea,Bolivia,5151
2017-08-01,Aérea,Brasil,69237
2017-08-01,Aérea,Chile,22029
2017-08-01,Aérea,Paraguay,5679
2017-08-01,Aérea,Uruguay,5798
2017-08-01,Aérea,EE.UU. y Canadá,23394
2017-08-01,Aérea,Resto de América,31970
2017-08-01,Aérea,Europa,35730.9
2017-08-01,Aérea,Resto del mundo,12758.1
2017-08-01,Fluvial/Marítima,Bolivia,2362
2017-08-01,Fluvial/Marítima,Brasil,8400
2017-08-01,Fluvial/Marítima,Chile,676
2017-08-01,Fluvial/Marítima,Paraguay,8625
2017-08-01,Fluvial/Marítima,Uruguay,29822
2017-08-01,Fluvial/Marítima,EE.UU. y Canadá,1564
2017-08-01,Fluvial/Marítima,Resto de América,3943
2017-08-01,Fluvial/Marítima,Europa,3801
2017-08-01,Fluvial/Marítima,Resto del mundo,919
2017-08-01,Terrestre,Bolivia,29820.7
2017-08-01,Terrestre,Brasil,24343.1
2017-08-01,Terrestre,Chile,31003.2
2017-08-01,Terrestre,Paraguay,53469.2
2017-08-01,Terrestre,Uruguay,24507.5
2017-08-01,Terrestre,EE.UU. y Canadá,1390.4
2017-08-01,Terrestre,Resto de América,9475.3
2017-08-01,Terrestre,Europa,12312.8
2017-08-01,Terrestre,Resto del mundo,3120.7
2017-09-01,Aérea,Bolivia,5481
2017-09-01,Aérea,Brasil,65764
2017-09-01,Aérea,Chile,26302
2017-09-01,Aérea,Paraguay,5178
2017-09-01,Aérea,Uruguay,5839
2017-09-01,Aérea,EE.UU. y Canadá,17730
2017-09-01,Aérea,Resto de América,30352
2017-09-01,Aérea,Europa,31543.9
2017-09-01,Aérea,Resto del mundo,13292.1
2017-09-01,Fluvial/Marítima,Bolivia,2123
2017-09-01,Fluvial/Marítima,Brasil,10936
2017-09-01,Fluvial/Marítima,Chile,1180.1
2017-09-01,Fluvial/Marítima,Paraguay,8605
2017-09-01,Fluvial/Marítima,Uruguay,30806
2017-09-01,Fluvial/Marítima,EE.UU. y Canadá,1599
2017-09-01,Fluvial/Marítima,Resto de América,3769
2017-09-01,Fluvial/Marítima,Europa,3594
2017-09-01,Fluvial/Marítima,Resto del mundo,1111
2017-09-01,Terrestre,Bolivia,29698.8
2017-09-01,Terrestre,Brasil,36670.2
2017-09-01,Terrestre,Chile,51706.7
2017-09-01,Terrestre,Paraguay,52633.9
2017-09-01,Terrestre,Uruguay,33600
